Strategy,CAGR,Sharpe Ratio,Maximum Drawdown,Annualized Volatility,Win Rate,Total Return
MA Crossover (20/50),0.08206433892519405,0.7496483052852104,-0.29242543305822155,0.11391950460114761,0.5557432432432432,1.1971070604452438
Bollinger Mean Reversion,0.04656891239969041,0.4137295146029428,-0.2951908611008376,0.13070528466257134,0.5568445475638051,0.5750200362977715
Momentum (252d),0.08793103343285291,0.6871995440028464,-0.3137090134348133,0.136304091129676,0.5626927029804728,1.3189289106252473
Buy & Hold SPY,0.1485805835364289,0.8567739311851507,-0.3371538582077861,0.18079201815538365,0.551093439363817,2.984932998778521
