fast,slow,CAGR,Sharpe,Max Drawdown,Volatility,Win Rate,Total Return
10,100,0.1047128238151187,0.9268317507440038,-0.16603157900471122,0.11458072662922607,0.5614973262032086,1.004745603888734
15,60,0.09769667369801405,0.8653384089075885,-0.19572466284058876,0.11548639754103043,0.5621069182389937,0.9174933229699163
10,80,0.092527928699917,0.833728288275809,-0.17315950469709795,0.11399458803437187,0.5593483320403414,0.8553155915246573
20,60,0.09359970506685289,0.810603124640439,-0.2127816984659765,0.11920882870834436,0.5612244897959183,0.8680646029807733
15,80,0.08980709016801947,0.7944895107088651,-0.16897230422120713,0.11690760190997222,0.558641975308642,0.823284970674111
25,40,0.08887520579050645,0.7865304560108928,-0.18991007498898027,0.11702529597644196,0.56,0.8124240134860756
25,60,0.0859750850250176,0.7412221286306458,-0.20047007748029588,0.12125943150917984,0.5594020456333596,0.7789775264951475
30,40,0.08452629805341783,0.7395738570098739,-0.2005515024204596,0.11942563545546692,0.5597075548334687,0.7624680204779009
15,40,0.0793119803504525,0.7385984224785258,-0.19399634257746845,0.11186942708546911,0.5581203627370157,0.7041304688058085
20,50,0.08262381666549312,0.7368949515176313,-0.2098406840355983,0.11710587791618719,0.5619504396482814,0.7409879902998668
25,50,0.08137275051223436,0.7189142416700308,-0.21695273309619423,0.11868452833055954,0.5595523581135092,0.7269853711960375
30,80,0.08677284810773234,0.7175559401641405,-0.19618475683446313,0.1273743236494362,0.5625954198473282,0.7881247933940929
25,80,0.08492293985444221,0.7099636312893208,-0.1894965413803139,0.12610166056807717,0.5582112567463376,0.7669748075087863
15,50,0.0771650968860147,0.7044901943360811,-0.21542331823533456,0.11495743514085001,0.5571658615136876,0.6805966417906175
30,50,0.07890574150901863,0.6922291562845164,-0.24259443392544255,0.12022307313237648,0.5602893890675241,0.6996558055754245
20,100,0.08136293572648179,0.688204433836916,-0.2199626835428644,0.12513942288724336,0.558530986993114,0.726875901378536
20,40,0.07305358870958933,0.6660755241932186,-0.25272278367816736,0.11603791387748434,0.5595432300163132,0.6363033715620527
15,100,0.07563055217039882,0.6642824387267453,-0.20339476283191327,0.12084752792323154,0.5584415584415584,0.6639463390207201
10,50,0.06667765731286246,0.6457423403312657,-0.15109151806990562,0.10927178791120125,0.5553745928338762,0.5695943170494069
30,100,0.08049493490966175,0.6400056718192108,-0.2666351132246233,0.13543124941468848,0.55895865237366,0.7172180837120739
10,60,0.06610848344797327,0.6317079943373031,-0.16071811560604665,0.11119702322809585,0.5575079872204473,0.5637542479641009
20,80,0.07049565227219023,0.6172500600240713,-0.18990179310962385,0.12265984383882055,0.555984555984556,0.6092545761207433
10,40,0.06318853563608395,0.6134580180047016,-0.16314053130329487,0.10976970256087547,0.5587010824313072,0.5340856561466527
30,60,0.07037831957021945,0.6091991221245319,-0.23439476329512987,0.12447407164073558,0.5605700712589073,0.6080230925551933
25,100,0.059453068972858736,0.5068708581124622,-0.2926211200607487,0.13111305248454086,0.5566615620214395,0.4968350389336431
